,quit,n_prac,s_final,prac_final
4579,0,3533,0.7759430857333642,1000.0
4580,0,3555,0.74749745818832,1000.0
4581,0,3547,0.8193919661705806,1000.0
4582,0,3455,0.7963676154827466,1000.0
4583,0,3533,0.855456614561032,1000.0
4584,0,3486,0.8889785022985388,1000.0
4585,0,3524,0.7851093062091782,1000.0
4586,0,3458,0.836597648760493,1000.0
4587,0,3526,0.8759691456051903,1000.0
4588,0,3583,0.8761905696931308,1000.0
4589,1,21,0.004660464466054989,45.43959098506833
4590,0,3520,0.7836406133912183,1000.0
4591,0,3508,0.8959018818395721,1000.0
4592,0,3523,0.8211790291130404,1000.0
4593,0,3475,0.8468974347359316,1000.0
4594,0,3518,0.8610200755420808,1000.0
4595,0,3490,0.8914688885459005,1000.0
4596,0,3523,0.8342986919887094,1000.0
4597,0,3468,0.760251338665833,1000.0
4598,1,3,0.004270799699648152,20.028116225431248
4599,0,3462,0.7965527931191837,1000.0
4600,0,3479,0.875183404374067,1000.0
4601,0,3535,0.8302539053582745,1000.0
4602,0,3513,0.8930472822258028,1000.0
4603,0,3540,0.8272037859498684,1000.0
4604,0,3540,0.8305156586413716,1000.0
4605,0,3567,0.8080609766527423,1000.0
4606,0,3563,0.7936904507039516,1000.0
4607,1,26,0.0003468557857622046,56.58564250012413
4608,0,3540,0.8817766664095316,1000.0
4609,1,9,0.006226613051941642,26.90518566814501
4610,1,9,0.008176841785998812,27.066949078983406
4611,0,3512,0.8710642176912989,1000.0
4612,0,3494,0.8770282538589285,1000.0
4613,0,3539,0.8804036167641222,1000.0
4614,0,3598,0.879719408415641,1000.0
4615,0,3504,0.8912947994226532,1000.0
4616,0,3494,0.7965971293405888,1000.0
4617,0,3519,0.7828988779933638,1000.0
4618,0,3481,0.8578460603401351,1000.0
4619,0,3466,0.8244920697089804,1000.0
4620,1,4,0.009211137794751136,18.252156759549678
4621,0,3504,0.8353320314200938,1000.0
4622,0,3497,0.8848700741222907,1000.0
4623,0,3498,0.8697541862291045,1000.0
4624,0,3573,0.8838735594561425,1000.0
4625,0,3464,0.8537967714346737,1000.0
4626,0,3425,0.8636292941393533,1000.0
4627,0,3488,0.8696230299219216,1000.0
4628,0,3551,0.888578004623078,1000.0
4629,0,3563,0.8941899452427777,1000.0
4630,0,3535,0.7517503829241131,1000.0
4631,0,3466,0.848354804507609,1000.0
4632,0,3509,0.8806253490253287,1000.0
4633,0,3554,0.6993958516064628,1000.0
4634,0,3559,0.7962715003613855,1000.0
4635,0,3469,0.7388652954763321,1000.0
4636,0,3529,0.88373178189898,1000.0
4637,0,3613,0.8969508187463228,1000.0
