"username","total_count","earliest","latest","career_length","play_freq","percent_rapid","percent_Blitz","percent_bullet","percent_classic","percent_puzzle"
"Chipi76",1173,2018-07-04,2024-11-03,2315,0.506695464362851,0.174765558397272,0.825234441602728,0.0110826939471441,0.00170502983802217,0.000852514919011083
"Davidwilwin",4,2018-07-04,2018-07-10,7,0.571428571428571,1,0,0,0.5,0
"Draksen",10,2018-07-04,2018-07-24,21,0.476190476190476,0.1,1,0.2,0,0
"Fasahathossein",1718,2018-07-04,2024-11-04,2316,0.741796200345423,0.0238649592549476,0.973224679860303,0.00349243306169965,0.00116414435389988,0.0279394644935972
"GTSilva",407,2018-07-04,2024-04-02,2100,0.193809523809524,0.0319410319410319,0.272727272727273,0.896805896805897,0.0442260442260442,0.127764127764128
"Gabriel_NeubertBR",499,2018-07-04,2024-08-29,2249,0.221876389506447,0.38877755511022,0.623246492985972,0.062124248496994,0,0.00400801603206413
"HahaYouAreBad",66,2018-07-04,2019-07-22,384,0.171875,0,0.393939393939394,0.772727272727273,0,0
"HaveaGreatJay",12,2018-07-04,2020-04-07,644,0.0186335403726708,0.75,0.833333333333333,0.666666666666667,0,0
"JulioFreitas912",2,2018-07-04,2018-07-10,7,0.285714285714286,0,0,1,0,0
"LeonieB06",4,2018-07-04,2018-07-11,8,0.5,0,0,1,0,0
"Mikael_Santos",5,2018-07-04,2018-07-10,7,0.714285714285714,0.8,0,0,0,0
"MisterBoy",1,2018-07-04,2018-07-04,1,1,1,1,0,0,0
"Nastaran84",11,2018-07-04,2019-06-22,354,0.0310734463276836,0.363636363636364,0.727272727272727,0,0,0
"Oskours",31,2018-07-04,2024-10-12,2293,0.0135194068905364,0.645161290322581,0.32258064516129,0,0.0645161290322581,0.129032258064516
"Swoodivarius",139,2018-07-04,2023-04-10,1742,0.0797933409873708,0.0647482014388489,0.366906474820144,0.0935251798561151,0,0.597122302158273
"TaeyeonShi",1,2018-07-04,2018-07-04,1,1,0,0,1,0,0
"abhi66",20,2018-07-04,2022-01-10,1287,0.0155400155400155,0.45,0.2,0.75,0.05,0
"afk_99",42,2018-07-04,2019-09-15,439,0.0956719817767654,0.166666666666667,0.785714285714286,0.261904761904762,0.0714285714285714,0
"alpacajuice",1,2018-07-04,2018-07-04,1,1,0,1,0,0,0
"de4th5tar",14,2018-07-04,2018-08-17,45,0.311111111111111,0.214285714285714,0,0,0.785714285714286,0
"eduar19",59,2018-07-04,2020-04-27,664,0.088855421686747,0.322033898305085,0.0169491525423729,0,0.677966101694915,0
"felix321",19,2018-07-04,2019-08-23,416,0.0456730769230769,0,1,0.157894736842105,0,0
"ghati",538,2018-07-04,2021-01-20,932,0.57725321888412,0,1,0.0241635687732342,0,0
"jdpibe99",31,2018-07-04,2021-08-05,1129,0.0274579273693534,0.741935483870968,0.0967741935483871,0.032258064516129,0.0645161290322581,0.0645161290322581
"kagan12312",1,2018-07-04,2018-07-04,1,1,0,0,1,0,0
"kokoca321",1,2018-07-04,2018-07-04,1,1,1,0,0,1,0
"mahusay2020",15,2018-07-04,2018-07-21,18,0.833333333333333,0.4,0.4,1,0.0666666666666667,0
"mihaisofroni",250,2018-07-04,2021-02-19,962,0.25987525987526,0.04,0.508,0.5,0.02,0.152
"otrebor_solrac123",1685,2018-07-04,2024-11-03,2315,0.727861771058315,0.0166172106824926,0.0961424332344214,0.997032640949555,0.00712166172106825,0.0136498516320475
"sammy_glick",2,2018-07-04,2018-07-05,2,1,0,1,0,0,0
"shabtropico",30,2018-07-04,2018-11-09,129,0.232558139534884,0.9,0.0333333333333333,0.0666666666666667,0.166666666666667,0
"shadici",2,2018-07-04,2018-07-05,2,1,1,0,0,0,0
"shishper",15,2018-07-04,2021-01-14,926,0.0161987041036717,0,1,0,0,0
"skezza91",101,2018-07-04,2023-11-30,1976,0.0511133603238866,0.772277227722772,0.534653465346535,0.0792079207920792,0.0495049504950495,0
"slivator",3,2018-07-04,2018-08-05,33,0.0909090909090909,0,0,0,1,0
"Diomor",1,2018-07-05,2018-07-05,1,1,0,0,0,1,0
"Dody89",337,2018-07-05,2024-06-01,2159,0.156090782769801,0.0029673590504451,1,0,0,0.00593471810089021
"Dr_Sudeikin",4,2018-07-05,2019-06-12,343,0.0116618075801749,0,0.25,0,0.75,0
"Ericsson1986",16,2018-07-05,2018-10-14,102,0.156862745098039,0,1,0,0,0
"ImpudentPawn",2,2018-07-05,2018-07-06,2,1,1,0,0,0,0
"Loussttr",79,2018-07-05,2019-08-27,419,0.18854415274463,0,0.0759493670886076,0.0126582278481013,0.936708860759494,0
"Mimi_Nest",1,2018-07-05,2018-07-05,1,1,1,0,0,1,0
"Neonacd",3,2018-07-05,2018-07-10,6,0.5,1,0,0,0,0
"OdyKara3",926,2018-07-05,2024-09-08,2258,0.410097431355182,0.272138228941685,0.58207343412527,0.863930885529158,0.0712742980561555,0.249460043196544
"Pa1Mate",3,2018-07-05,2018-07-07,3,1,0,0.333333333333333,1,0,0
"Padachess",9,2018-07-05,2021-07-05,1097,0.00820419325432999,0,0.444444444444444,0.666666666666667,0.222222222222222,0
"Rajon_Rondo",4,2018-07-05,2018-07-13,9,0.444444444444444,0,0.75,0,0.75,0
"Rita_Hahalina",1,2018-07-05,2018-07-05,1,1,0,1,0,0,0
"SillyMaster",423,2018-07-05,2024-10-17,2297,0.184153243360906,0.101654846335697,0.91016548463357,0.26241134751773,0.016548463356974,0.0189125295508274
"Trav1",171,2018-07-05,2024-09-15,2265,0.0754966887417219,0,0.0701754385964912,0.12280701754386,0,0.888888888888889
"ahmada332",3,2018-07-05,2018-07-19,15,0.2,0,0.333333333333333,0.666666666666667,0,0
"bob133",156,2018-07-05,2024-10-11,2291,0.0680925360104758,0.115384615384615,0.865384615384615,0.0192307692307692,0.00641025641025641,0.0833333333333333
"cmlee",112,2018-07-05,2021-11-26,1241,0.0902497985495568,0.160714285714286,0.848214285714286,0.0625,0,0.0178571428571429
"dave_609",26,2018-07-05,2020-01-22,567,0.0458553791887125,0.730769230769231,0.0384615384615385,0,0.346153846153846,0
"deckerdecker",1,2018-07-05,2018-07-05,1,1,1,0,0,0,0
"fjtorre",198,2018-07-05,2019-04-23,293,0.675767918088737,0.0505050505050505,0.984848484848485,0.0151515151515152,0,0
"kroty",1,2018-07-05,2018-07-05,1,1,0,1,1,0,0
"mhmdrzj",8,2018-07-05,2018-07-12,8,1,1,0.5,0,0,0
"mwaspkr",1,2018-07-05,2018-07-05,1,1,0,1,0,0,0
"rcapobianco",985,2018-07-05,2024-10-30,2310,0.426406926406926,0.0345177664974619,0.409137055837563,0.581725888324873,0.00710659898477157,0.330964467005076
"riyan773",3,2018-07-05,2018-09-01,59,0.0508474576271186,0.333333333333333,0,0.333333333333333,0.666666666666667,0
"vinni3012",1951,2018-07-05,2024-11-04,2315,0.842764578833693,0.602255253716043,0.801127626858022,0.425935417734495,0.0640697078421322,0.0953357252690928
"vishy786",5,2018-07-05,2018-07-14,10,0.5,0.8,0.4,0.6,0,0
"walterpes18",1044,2018-07-05,2024-11-04,2315,0.45097192224622,0.0584291187739464,0.953065134099617,0.120689655172414,0,0.0450191570881226
"yarik62005",1,2018-07-05,2018-07-05,1,1,1,1,0,0,0
"AbdallahBelal",167,2018-07-06,2020-08-08,765,0.218300653594771,0.353293413173653,0.0239520958083832,0.0119760479041916,0.0898203592814371,0.574850299401198
"Aqilzafry",1,2018-07-06,2018-07-06,1,1,1,0,1,0,0
"Fatma123elmasry1",1,2018-07-06,2018-07-06,1,1,1,0,0,0,0
"Fourane",5,2018-07-06,2024-09-25,2274,0.00219876868953386,0.4,0.6,0,0,0
"Friediest1Chicken",11,2018-07-06,2018-09-26,83,0.132530120481928,0.363636363636364,0.454545454545455,0.363636363636364,0.363636363636364,0
"Googles_AI",16,2018-07-06,2019-08-19,410,0.0390243902439024,0.75,0.5,0,0.25,0
"Hard_to_die",5,2018-07-06,2018-08-02,28,0.178571428571429,0.6,0.6,0,0,0
"Ivkica",23,2018-07-06,2019-02-15,225,0.102222222222222,0.0869565217391304,0.173913043478261,0.826086956521739,0,0
"JPE1973",70,2018-07-06,2023-07-02,1823,0.0383982446516731,0.314285714285714,0.342857142857143,0,0.442857142857143,0.0142857142857143
"KasaMarton41",1,2018-07-06,2018-07-06,1,1,1,0,0,0,0
"Raviji",1351,2018-07-06,2023-09-24,1907,0.708442579968537,0.0185048112509252,0.887490747594375,0.228719467061436,0.00518134715025907,0.0111028867505551
"SABATA64",107,2018-07-06,2021-05-29,1059,0.101038715769594,0,1,0,0,0.0560747663551402
"akshara11",1,2018-07-06,2018-07-06,1,1,0,0,1,0,0
"dgreen50",48,2018-07-06,2020-05-03,668,0.0718562874251497,0.125,0.0208333333333333,0.0208333333333333,0.958333333333333,0
"fehecas",5,2018-07-06,2018-09-13,70,0.0714285714285714,0,1,0,0,0
"frododergrozze",464,2018-07-06,2024-11-03,2313,0.200605274535236,0.25,0.741379310344828,0.00862068965517241,0.0280172413793103,0.0021551724137931
"intellipro",384,2018-07-06,2024-08-01,2219,0.173050923839567,0.231770833333333,0.78125,0.268229166666667,0.106770833333333,0.00260416666666667
"jafarH7",402,2018-07-06,2024-10-11,2290,0.175545851528384,0.159203980099502,0.656716417910448,0.228855721393035,0.0572139303482587,0.181592039800995
"ketul1983",1201,2018-07-06,2024-10-29,2308,0.520363951473137,0.194837635303913,0.642797668609492,0.00416319733555371,0.139050791007494,0.08992506244796
"larzy",1256,2018-07-06,2024-11-03,2313,0.543017725897103,0.0955414012738854,0.119426751592357,0.00636942675159236,0.0374203821656051,0.00159235668789809
"mdynl123",1509,2018-07-06,2024-11-02,2312,0.652681660899654,0.00331345261762757,0.762094102054341,0.412193505632869,0,0.023194168323393
"mistertvak",126,2018-07-06,2020-06-05,701,0.179743223965763,0,0.976190476190476,0.0476190476190476,0,0
